Term,Canada
Canada appeared in 137 documents,Total Words (m),Frequency (f),Term Frequency (f/m)
news_1.txt,101,5,0.05
news_2.txt,99,2,0.02
news_3.txt,78,3,0.04
news_4.txt,61,3,0.05
news_5.txt,112,3,0.03
news_6.txt,98,3,0.03
news_7.txt,108,1,0.01
news_8.txt,64,2,0.03
news_9.txt,63,2,0.03
news_10.txt,95,3,0.03
news_11.txt,76,2,0.03
news_12.txt,93,2,0.02
news_14.txt,91,2,0.02
news_16.txt,97,2,0.02
news_17.txt,92,2,0.02
news_18.txt,108,7,0.06
news_19.txt,96,6,0.06
news_20.txt,101,4,0.04
news_22.txt,105,1,0.01
news_23.txt,63,2,0.03
news_24.txt,96,2,0.02
news_25.txt,97,1,0.01
news_26.txt,97,6,0.06
news_27.txt,101,5,0.05
news_28.txt,109,7,0.06
news_29.txt,102,1,0.01
news_31.txt,104,7,0.07
news_32.txt,101,6,0.06
news_33.txt,98,3,0.03
news_34.txt,104,6,0.06
news_35.txt,91,5,0.05
news_36.txt,95,4,0.04
news_37.txt,101,6,0.06
news_39.txt,94,3,0.03
news_40.txt,101,2,0.02
news_44.txt,46,3,0.07
news_45.txt,90,2,0.02
news_46.txt,109,5,0.05
news_47.txt,101,3,0.03
news_48.txt,95,4,0.04
news_49.txt,68,2,0.03
news_50.txt,97,2,0.02
news_51.txt,95,1,0.01
news_52.txt,94,3,0.03
news_53.txt,63,1,0.02
news_54.txt,81,1,0.01
news_55.txt,100,5,0.05
news_56.txt,109,4,0.04
news_57.txt,95,2,0.02
news_58.txt,48,2,0.04
news_59.txt,99,1,0.01
news_60.txt,96,1,0.01
news_61.txt,97,4,0.04
news_62.txt,90,3,0.03
news_63.txt,99,2,0.02
news_64.txt,52,1,0.02
news_65.txt,105,2,0.02
news_66.txt,76,2,0.03
news_67.txt,76,3,0.04
news_68.txt,76,3,0.04
news_69.txt,86,3,0.03
news_70.txt,89,2,0.02
news_71.txt,83,4,0.05
news_72.txt,96,2,0.02
news_73.txt,90,3,0.03
news_74.txt,91,3,0.03
news_75.txt,95,4,0.04
news_76.txt,90,4,0.04
news_77.txt,89,2,0.02
news_78.txt,47,2,0.04
news_79.txt,59,2,0.03
news_80.txt,83,1,0.01
news_81.txt,99,3,0.03
news_82.txt,100,3,0.03
news_83.txt,94,1,0.01
news_84.txt,90,1,0.01
news_85.txt,102,1,0.01
news_86.txt,104,3,0.03
news_88.txt,90,2,0.02
news_89.txt,103,3,0.03
news_90.txt,106,1,0.01
news_91.txt,88,4,0.05
news_92.txt,105,3,0.03
news_93.txt,87,3,0.03
news_94.txt,99,1,0.01
news_95.txt,101,1,0.01
news_96.txt,109,2,0.02
news_97.txt,95,4,0.04
news_98.txt,105,3,0.03
news_99.txt,100,3,0.03
news_100.txt,109,3,0.03
news_149.txt,98,1,0.01
news_204.txt,94,1,0.01
news_215.txt,74,3,0.04
news_219.txt,101,2,0.02
news_220.txt,82,1,0.01
news_232.txt,87,2,0.02
news_240.txt,84,2,0.02
news_244.txt,89,2,0.02
news_257.txt,96,2,0.02
news_260.txt,77,3,0.04
news_264.txt,76,2,0.03
news_273.txt,89,3,0.03
news_275.txt,91,4,0.04
news_276.txt,76,2,0.03
news_282.txt,74,1,0.01
news_284.txt,69,2,0.03
news_286.txt,83,3,0.04
news_289.txt,98,3,0.03
news_290.txt,65,1,0.02
news_291.txt,89,1,0.01
news_296.txt,85,3,0.04
news_297.txt,73,2,0.03
news_300.txt,77,1,0.01
news_305.txt,91,4,0.04
news_307.txt,102,1,0.01
news_313.txt,94,1,0.01
news_320.txt,91,1,0.01
news_330.txt,83,3,0.04
news_342.txt,91,1,0.01
news_343.txt,90,1,0.01
news_345.txt,74,3,0.04
news_346.txt,97,2,0.02
news_350.txt,62,2,0.03
news_355.txt,81,1,0.01
news_360.txt,77,2,0.03
news_363.txt,68,1,0.01
news_367.txt,64,3,0.05
news_370.txt,86,1,0.01
news_378.txt,95,3,0.03
news_379.txt,92,2,0.02
news_385.txt,66,1,0.02
news_389.txt,66,2,0.03
news_392.txt,94,1,0.01
news_394.txt,72,3,0.04
news_396.txt,65,1,0.02
news_399.txt,99,2,0.02
